report_date,State/UT,Confirmed_IN,Confirmed_FN,Recovered,Death
19/03/20,Andhra Pradesh,2,0,0,0
19/03/20,Chandigarh,1,0,0,0
19/03/20,Chhattisgarh,1,0,0,0
19/03/20,Delhi,11,1,2,1
19/03/20,Haryana,3,14,0,0
19/03/20,India,152,32,14,4
19/03/20,Jammu and Kashmir,4,0,0,0
19/03/20,Karnataka,15,0,0,1
19/03/20,Kerala,26,2,3,0
19/03/20,Ladakh,8,0,0,0
19/03/20,Maharashtra,46,3,0,1
19/03/20,Orissa,1,0,0,0
19/03/20,Puducherry,1,0,0,0
19/03/20,Punjab,2,0,0,1
19/03/20,Rajasthan,5,2,3,0
19/03/20,Tamil Nadu,2,0,0,0
19/03/20,Telengana,4,9,1,0
19/03/20,Uttar Pradesh,18,1,5,0
19/03/20,Uttarakhand,1,0,0,0
19/03/20,West Bengal,1,0,0,0
20/03/20,Andhra Pradesh,2,0,0,0
20/03/20,Chhattisgarh,1,0,0,0
20/03/20,Delhi,16,1,3,1
20/03/20,Gujarat,2,0,0,0
20/03/20,Haryana,3,14,0,0
20/03/20,India,163,32,20,4
20/03/20,Jammu and Kashmir,4,0,0,0
20/03/20,Karnataka,15,0,0,1
20/03/20,Kerala,26,2,3,0
20/03/20,Ladakh,10,0,0,0
20/03/20,Maharashtra,44,3,0,1
20/03/20,Orissa,1,0,0,0
20/03/20,Puducherry,1,0,0,0
20/03/20,Punjab,2,0,0,1
20/03/20,Rajasthan,5,2,3,0
20/03/20,Tamil Nadu,3,0,1,0
20/03/20,Telengana,7,9,1,0
20/03/20,Uttar Pradesh,18,1,9,0
20/03/20,Uttarakhand,1,0,0,0
20/03/20,West Bengal,1,0,0,0
21/03/20,Andhra Pradesh,3,0,0,0
21/03/20,Chandigarh,1,0,0,0
21/03/20,Chhattisgarh,1,0,0,0
21/03/20,Delhi,25,1,5,1
21/03/20,Gujarat,7,0,0,0
21/03/20,Haryana,3,14,0,0
21/03/20,Himachal Pradesh,2,0,0,0
21/03/20,India,244,39,23,4
21/03/20,Jammu and Kashmir,4,0,0,0
21/03/20,Karnataka,15,0,1,1
21/03/20,Kerala,33,7,3,0
21/03/20,Ladakh,13,0,0,0
21/03/20,Madhya Pradesh,4,0,0,0
21/03/20,Maharashtra,60,3,0,1
21/03/20,Orissa,2,0,0,0
21/03/20,Puducherry,1,0,0,0
21/03/20,Punjab,13,0,0,1
21/03/20,Rajasthan,15,2,3,0
21/03/20,Tamil Nadu,3,0,1,0
21/03/20,Telengana,10,11,1,0
21/03/20,Uttar Pradesh,23,1,9,0
21/03/20,Uttarakhand,3,0,0,0
21/03/20,West Bengal,3,0,0,0
22/03/20,Andhra Pradesh,5,0,0,0
22/03/20,Bihar,2,0,0,1
22/03/20,Chandigarh,5,0,0,0
22/03/20,Chhattisgarh,1,0,0,0
22/03/20,Delhi,28,1,5,1
22/03/20,Gujarat,18,0,0,1
22/03/20,Haryana,7,14,0,0
22/03/20,Himachal Pradesh,2,0,0,0
22/03/20,India,319,41,24,7
22/03/20,Jammu and Kashmir,4,0,0,0
22/03/20,Karnataka,26,0,2,1
22/03/20,Kerala,45,7,3,0
22/03/20,Ladakh,13,0,0,0
22/03/20,Madhya Pradesh,4,0,0,0
22/03/20,Maharashtra,64,3,0,2
22/03/20,Orissa,2,0,0,0
22/03/20,Puducherry,1,0,0,0
22/03/20,Punjab,21,0,0,1
22/03/20,Rajasthan,22,2,3,0
22/03/20,Tamil Nadu,5,2,1,0
22/03/20,Telengana,11,11,1,0
22/03/20,Uttar Pradesh,26,1,9,0
22/03/20,Uttarakhand,3,0,0,0
22/03/20,West Bengal,4,0,0,0
23/03/20,Andhra Pradesh,7,0,0,0
23/03/20,Bihar,2,0,0,1
23/03/20,Chandigarh,6,0,0,0
23/03/20,Chhattisgarh,1,0,0,0
23/03/20,Delhi,28,1,5,1
23/03/20,Gujarat,29,0,0,1
23/03/20,Haryana,12,14,11,0
23/03/20,Himachal Pradesh,3,0,0,1
23/03/20,India,394,40,35,9
23/03/20,Jammu and Kashmir,4,0,0,0
23/03/20,Karnataka,33,0,2,1
23/03/20,Kerala,60,7,3,0
23/03/20,Ladakh,13,0,0,0
23/03/20,Madhya Pradesh,6,0,0,0
23/03/20,Maharashtra,71,3,0,2
23/03/20,Orissa,2,0,0,0
23/03/20,Puducherry,1,0,0,0
23/03/20,Punjab,21,0,0,1
23/03/20,Rajasthan,26,2,3,0
23/03/20,Tamil Nadu,7,2,1,0
23/03/20,Telengana,22,10,1,0
23/03/20,Uttar Pradesh,30,1,9,0
23/03/20,Uttarakhand,3,0,0,0
23/03/20,West Bengal,7,0,0,1
24/03/20,Andhra Pradesh,8,0,0,0
24/03/20,Bihar,3,0,0,1
24/03/20,Chandigarh,7,0,0,0
24/03/20,Chhattisgarh,1,0,0,0
24/03/20,Delhi,29,1,6,2
24/03/20,Gujarat,32,1,0,1
24/03/20,Haryana,14,14,11,0
24/03/20,Himachal Pradesh,3,0,0,1
24/03/20,India,476,43,40,10
24/03/20,Jammu and Kashmir,4,0,0,0
24/03/20,Karnataka,37,0,3,1
24/03/20,Kerala,87,8,4,0
24/03/20,Ladakh,13,0,0,0
24/03/20,Madhya Pradesh,7,0,0,0
24/03/20,Maharashtra,86,3,0,2
24/03/20,Manipur,1,0,0,0
24/03/20,Orissa,2,0,0,0
24/03/20,Puducherry,1,0,0,0
24/03/20,Punjab,29,0,0,1
24/03/20,Rajasthan,30,2,3,0
24/03/20,Tamil Nadu,13,2,1,0
24/03/20,Telengana,25,10,1,0
24/03/20,Uttar Pradesh,32,1,11,0
24/03/20,Uttarakhand,3,1,0,0
24/03/20,West Bengal,9,0,0,1
25/03/20,Andhra Pradesh,9,0,0,0
25/03/20,Bihar,3,0,0,1
25/03/20,Chandigarh,7,0,0,0
25/03/20,Chhattisgarh,1,0,0,0
25/03/20,Delhi,30,1,6,1
25/03/20,Gujarat,32,1,0,1
25/03/20,Haryana,14,14,11,0
25/03/20,Himachal Pradesh,3,0,0,1
25/03/20,India,519,43,41,9
25/03/20,Jammu and Kashmir,7,0,1,0
25/03/20,Karnataka,41,0,3,1
25/03/20,Kerala,101,8,4,0
25/03/20,Ladakh,13,0,0,0
25/03/20,Madhya Pradesh,9,0,0,0
25/03/20,Maharashtra,98,3,0,2
25/03/20,Manipur,1,0,0,0
25/03/20,Mizoram,1,0,0,0
25/03/20,Orissa,2,0,0,0
25/03/20,Puducherry,1,0,0,0
25/03/20,Punjab,29,0,0,1
25/03/20,Rajasthan,30,2,3,0
25/03/20,Tamil Nadu,16,2,1,0
25/03/20,Telengana,25,10,1,0
25/03/20,Uttar Pradesh,34,1,11,0
25/03/20,Uttarakhand,3,1,0,0
25/03/20,West Bengal,9,0,0,1
