State/UT,Confirmed,Recovered,Deaths,report_date
Andhra Pradesh,83,0,0,2020-04-02
Andaman and Nicobar Islands,10,1,0,2020-04-02
Assam,1,0,0,2020-04-02
Bihar,23,0,1,2020-04-02
Chandigarh,16,0,0,2020-04-02
Chhattisgarh,9,2,0,2020-04-02
Delhi,152,6,2,2020-04-02
Goa,5,0,0,2020-04-02
Gujarat,82,5,6,2020-04-02
Haryana,43,21,0,2020-04-02
Himachal Pradesh,3,0,1,2020-04-02
Jammu and Kashmir,62,2,2,2020-04-02
Jharkhand,1,0,0,2020-04-02
Karnataka,101,8,3,2020-04-02
Kerala,241,23,2,2020-04-02
Ladakh,13,3,0,2020-04-02
Madhya Pradesh,66,0,3,2020-04-02
Maharashtra,302,39,9,2020-04-02
Manipur,1,0,0,2020-04-02
Mizoram,1,0,0,2020-04-02
Odisha,4,0,0,2020-04-02
Puducherry,3,1,0,2020-04-02
Punjab,42,1,3,2020-04-02
Rajasthan,93,3,0,2020-04-02
Tamil Nadu,234,6,1,2020-04-02
Telengana,96,1,3,2020-04-02
Uttarakhand,7,2,0,2020-04-02
Uttar Pradesh,103,14,2,2020-04-02
West Bengal,37,6,3,2020-04-02
India,1834,144,41,2020-04-02
