State/UT,Confirmed,Recovered,Deaths,report_date
0,Kerala,1,0,0,2020-01-30
1,Kerala,1,0,0,2020-01-31
2,Kerala,2,0,0,2020-02-01
3,Kerala,3,0,0,2020-02-02
4,Kerala,3,0,0,2020-02-03
5,Kerala,3,0,0,2020-02-04
6,Kerala,3,0,0,2020-02-05
7,Kerala,3,0,0,2020-02-06
8,Kerala,3,0,0,2020-02-07
9,Kerala,3,0,0,2020-02-08
10,Kerala,3,0,0,2020-02-09
11,Kerala,3,0,0,2020-02-10
12,Kerala,3,0,0,2020-02-11
13,Kerala,3,0,0,2020-02-12
14,Kerala,3,0,0,2020-02-13
15,Kerala,3,0,0,2020-02-14
16,Kerala,3,0,0,2020-02-15
17,Kerala,3,0,0,2020-02-16
18,Kerala,3,0,0,2020-02-17
19,Kerala,3,0,0,2020-02-18
20,Kerala,3,0,0,2020-02-19
21,Kerala,3,0,0,2020-02-20
22,Kerala,3,0,0,2020-02-21
23,Kerala,3,0,0,2020-02-22
24,Kerala,3,0,0,2020-02-23
25,Kerala,3,0,0,2020-02-24
26,Kerala,3,0,0,2020-02-25
27,Kerala,3,0,0,2020-02-26
28,Kerala,3,0,0,2020-02-27
29,Kerala,3,0,0,2020-02-28
30,Kerala,3,0,0,2020-02-29
31,Kerala,3,0,0,2020-03-01
32,Telengana,1,0,0,2020-03-02
33,Kerala,3,0,0,2020-03-02
34,Delhi,1,0,0,2020-03-02
35,Telengana,1,0,0,2020-03-03
36,Rajasthan,1,0,0,2020-03-03
37,Kerala,3,3,0,2020-03-03
38,Delhi,1,0,0,2020-03-03
39,Uttar Pradesh,6,0,0,2020-03-04
40,Kerala,3,3,0,2020-03-04
41,Haryana,2,0,0,2020-03-04
42,Delhi,1,0,0,2020-03-04
43,Telengana,1,0,0,2020-03-04
44,Rajasthan,15,0,0,2020-03-04
45,Delhi,2,0,0,2020-03-05
46,Haryana,2,0,0,2020-03-05
47,Kerala,3,3,0,2020-03-05
48,Rajasthan,15,0,0,2020-03-05
49,Telengana,1,0,0,2020-03-05
50,Uttar Pradesh,7,0,0,2020-03-05
51,Delhi,3,0,0,2020-03-06
