State/UT,lat,lon
Andhra Pradesh,14.75042915,78.57002258
Arunachal Pradesh,28.218,94.7278
Assam,26.2006,92.9376
Bihar,25.78541374,87.47997284
Chandigarh,30.71999741,76.78000641
Chhattisgarh,22.09041977,82.1599884
Delhi,28.66999245,77.23000336
Gujarat,22.30942535,72.13623047
Goa,15.2993,74.124
Haryana,28.45000648,77.01998901
Himachal Pradesh,31.10002518,77.16659546
India,21.76790047,78.87180328
Jammu and Kashmir,34.29996109,74.46665955
Karnataka,12.57038116,76.91999817
Kerala,8.900372505,76.56999207
Ladakh,34.15258789,77.57704926
Madhya Pradesh,21.30039024,76.13002014
Maharashtra,19.2502327,73.16017151
Manipur,24.79997063,93.95001984
Mizoram,23.71039963,92.72001648
Odisha,19.82042885,85.90001678
Puducherry,11.93499374,79.83000183
Punjab,31.51997375,75.98000336
Rajasthan,26.44999886,74.63998413
Tamil Nadu,12.92038536,79.15003967
Telengana,17.1231842,79.20882416
Uttar Pradesh,27.59998131,78.05000305
Uttarakhand,30.3164959,78.03218842
West Bengal,22.58039093,88.32994843
Andaman and Nicobar Islands,11.7401,92.6586
