States/UT,DTV ,FTV ,DTV ,FTV ,DTV 2018/17 ,FTV 2018/17 ,DTV ,FTV 
Andaman & Nicobar Islands,471919,15313,498279,15242,5.59,-0.46,31,28
Andhra Pradesh ,165433898,271362,194767874,281083,17.73,3.58,4,16
Arunachal Pradesh ,444005,7147,512436,7653,15.41,7.08,30,30
Assam ,6052667,21760,5856282,36846,-3.24,69.33,22,26
Bihar ,32414063,1082705,33621613,1087971,3.73,0.49,14,9
Chandigarh ,1425781,31832,1538796,39681,7.93,24.66,25,25
Chhattisgarh ,17350030,6701,19329501,14399,11.41,114.88,16,29
Dadra & Nagar Haveli ,614182,1908,609435,1608,-0.77,-15.72,29,34
Daman & Diu ,858131,5535,898824,5694,4.74,2.87,28,32
Delhi * ,29114423,2740502,29114423,2740502,0,0,15,4
,,,,,,,,
,,,,,,,,
,,,,,,,,
Goa ____ ,6895234,842220,7081559,933841,2.7,10.88,21,10
,,,,,,,,
Gujarat ,48343121,448853,54369873,513113,12.47,14.32,9,12
,,,,,,,,
______ ,,,,,,,,
,,,,,,,,
Haryana ,6050325,193381,4888952,73977,-19.2,-61.75,23,23
,,,,,,,,
________ ,,,,,,,,
,,,,,,,,
Himachal Pradesh ,19130541,470992,16093935,356568,-15.87,-24.29,18,14
,,,,,,,,
______ _____ ,,,,,,,,
,,,,,,,,
Jammu & Kashmir ,14235473,79765,17076315,139520,19.96,74.91,17,20
,,,,,,,,
____ __ _____ ,,,,,,,,
,,,,,,,,
Jharkhand ,33723185,170987,35408822,175801,5,2.82,13,17
,,,,,,,,
______ ,,,,,,,,
,,,,,,,,
Karnataka ,179980191,498148,214306456,543716,19.07,9.15,3,11
,,,,,,,,
_______ ,,,,,,,,
,,,,,,,,
K e r a l a __ _ _ ,14673520,1091870,15604661,1096407,6.35,0.42,19,8
,,,,,,,,
Lakshadweep ,6620,1027,10435,1313,57.63,27.85,36,35
,,,,,,,,
_______ ,,,,,,,,
,,,,,,,,
Madhya Pradesh ,78038522,359119,83969799,375476,7.6,4.55,8,13
,,,,,,,,
________ ,,,,,,,,
,,,,,,,,
Maharashtra * ,119191539,5078514,119191539,5078514,0,0,5,2
,,,,,,,,
_________ ,,,,,,,,
,,,,,,,,
Manipur ,153454,3497,176109,6391,14.76,82.76,33,31
,,,,,,,,
______ ,,,,,,,,
,,,,,,,,
Meghalaya ,990856,12051,1198340,18114,20.94,50.31,27,27
,,,,,,,,
______ ,,,,,,,,
,,,,,,,,
Mizoram ,67772,1155,76551,967,12.95,-16.28,35,36
,,,,,,,,
______ ,,,,,,,,
,,,,,,,,
Nagaland ,63362,4166,101588,5010,60.33,20.26,34,33
,,,,,,,,
_______ ,,,,,,,,
,,,,,,,,
Odisha ,14011229,100014,15208540,110818,8.55,10.8,20,21
,,,,,,,,
_____ ,,,,,,,,
,,,,,,,,
Puducherry ,1531972,131407,1616660,141133,5.53,7.4,24,19
,,,,,,,,
_________ ,,,,,,,,
,,,,,,,,
Punjab _____ ,40293352,1108635,44595061,1200969,10.68,8.33,11,7
,,,,,,,,
Rajasthan ,45916573,1609963,50235643,1754348,9.41,8.97,10,5
,,,,,,,,
________ ,,,,,,,,
,,,,,,,,
Sikkim ,1375854,49111,1426127,71172,3.65,44.92,26,24
,,,,,,,,
_______ ,,,,,,,,
,,,,,,,,
Tamil Nadu ,345061140,4860455,385909376,6074345,11.84,24.97,1,1
,,,,,,,,
________ ,,,,,,,,
,,,,,,,,
Telengana ,85266596,251846,92878329,318154,8.93,26.33,6,15
,,,,,,,,
________ ,,,,,,,,
,,,,,,,,
Tripura _______ ,398669,69899,414388,102861,3.94,47.16,32,22
,,,,,,,,
Uttar Pradesh ,233977619,3556204,285079848,3780752,21.84,6.31,2,3
,,,,,,,,
________ _ ,,,,,,,,
,,,,,,,,
Uttarakhand ,34359989,133725,35609650,151320,3.64,13.16,12,18
,,,,,,,,
________ ,,,,,,,,
,,,,,,,,
West Bengal ,79630345,1574915,85657365,1617105,7.57,2.68,7,6
,,,,,,,,
